ticker,weight
LIN,0.09853493613566447
NVDA,0.09009528923523824
AAPL,0.08355449459218424
MSFT,0.06971748527833688
MCO,0.05613776048684335
SYK,0.046827180560556514
PFG,0.04168267323216682
HON,0.03409115189579664
BX,0.032120571577344534
META,0.03158258552547542
TRMB,0.029170936296920445
GOOGL,0.028235245969063884
COF,0.02722111026655202
KEYS,0.024160129989083904
GE,0.02282376486998235
JPM,0.021613226488926465
AVGO,0.020176898863210346
V,0.019907752543128345
BRK-B,0.017776526830793945
DASH,0.016734888694306973
GOOG,0.01635252255867292
DHR,0.015201024090097714
L,0.014889107283649252
QCOM,0.014098266758053441
ETN,0.01408904184619144
PANW,0.013549034056716137
COP,0.012720987687334592
TSLA,0.010941466749614695
SWKS,0.009891186400930962
GS,0.009629866275459772
COST,0.00883337717015425
EQR,0.008251846048249082
CMI,0.006534595512700479
ADI,0.0057065711599090805
AMZN,0.005480807515728297
STLD,0.005443314569562121
AXP,0.003126525400139045
MS,0.003092017745720276
IRM,0.0028670366967844378
APD,0.0027216828064317504
ABNB,0.0018305557944791003
BLK,0.0014007873642693047
AKAM,0.0005063572000821426
BSX,0.00041434774161741025
CRWD,0.00016437986357165405
AMD,9.868437230494175e-05
