ticker
BE
CRDO
STRL
FN
SITM
CDE
IONQ
NXT
SATS
TTMI
MOD
RMBS
AEIS
HL
SANM
SMTC
VIAV
DY
DOCN
AAOI
GH
FORM
PL
APLD
ARWR
KTOS
BBIO
HUT
SPXC
CYTK
OKLO
ENSG
UMBF
GTLS
FCFS
POWL
AGX
CTRE
VSAT
AHR
SNEX
AXSM
RIOT
MOGA
QBTS
ENS
PRAX
MDGL
ONB
MXL
WTS
WULF
LUMN
CMC
UEC
KRYS
ESE
ZWS
SM
GKOS
ORA
JXN
PLXS
VICR
TEX
BTSG
MYRG
SLAB
SSRM
FSS
FLR
IDCC
HQY
JBTM
CWAN
TRNO
RHP
GATX
PCVX
RGTI
CORZ
NPO
CIFR
VLY
ROAD
NE
AROC
KGS
ACA
AVAV
JOBY
TGTX
EPRT
PRIM
IESC
GVA
SWX
LNTH
RIG
VAL
EAT
PTCT
GBCI
PTGX
TXNM
HIMS
UBSI
KRG
ALKS
ESNT
TMHC
HWC
SYRE
NJR
COMP
MATX
PIPR
BKH
MAC
ABCB
GLNG
POR
KLIC
LBRT
AUB
CWST
NUVL
BCPC
UUUU
GTX
SBRA
DIOD
VSEC
ACLS
SIGI
HASI
OGS
RDN
MGY
MUR
MARA
PECO
NOVT
YOU
LGN
SR
MRCY
CNX
SXT
HOMB
SYNA
CRSP
KNF
LTH
COGT
USAR
INDV
REZI
UFPI
KYMR
XENE
OUT
IBP
BIPC
ASB
BOOT
CSTM
AX
PLUG
ATMU
FTDR
RYTM
NVTS
AIR
CVLT
HCC
PRM
URBN
OSCR
MIRM
CVSA
HRI
ACIW
CBT
MIR
RUSHA
AZZ
CELC
CNO
BCO
CRC
NWE
CNR
CSW
BDC
TCBI
PI
TDS
MTH
LGND
FLG
EBC
VSH
SRRK
MTRN
FFIN
RELY
LAUR
GSAT
PTEN
SKT
POWI
CGON
FULT
GPI
BGC
UCB
LASR
ENVA
PSMT
MWA
MC
TDW
IBOC
IRT
TPH
ACHR
SFBS
STEP
KAI
OPLN
WSFS
VCTR
INDB
WHD
SKY
ABG
STNG
DAN
FELE
RNST
BNL
UCTT
HP
RDNT
LIVN
CC
KTB
APGE
OII
FBP
CVCO
IRTC
ITRI
CATY
UNF
GNW
TPC
LRN
OSIS
VECO
CLSK
CDP
INSW
LUNR
CPRX
LEU
TVTX
CRNX
PBF
XMTR
GHC
PJT
PII
MMSI
KFY
BKU
SKYW
LQDA
ZETA
ADEA
NHI
BMI
CVBF
COCO
SPHR
SEI
BOX
ASO
CENX
MHO
OTTR
TWST
LMND
RXO
MMS
HWKN
ALHC
DORM
ACMR
AVA
FFBC
GFF
AVNT
QLYS
SIG
FUL
RUN
AMBA
CALM
ANF
SOUN
CBU
VRNS
EXTR
NATL
INOD
CRGY
VC
PARR
VSCO
SLG
WSBC
BELFB
APLE
OPCH
BOH
PLAB
UNFI
SDRL
DNTH
SXI
AAP
VCYT
KN
PATK
FIBK
MRX
BHE
AEHR
PHIN
LXP
ORKA
BEAM
BTU
ICUI
EXPO
BKD
AWR
SFNC
KBH
QTWO
CHEF
TRN
BXMT
CTRI
ITGR
CPK
TOWN
NTCT
NMIH
AKR
CON
KALU
SBCF
GPOR
PLMR
GEO
WRBY
CNK
CAKE
KMT
DBRG
PFS
UE
HGV
DNLI
WDFC
MGRC
SHOO
WAFD
FSLY
DK
ACAD
PPTA
CURB
SUPN
MGEE
AMSC
MCY
LCII
DX
NGVT
ARCB
FCPT
NIC
SLNO
EOSE
VISN
STNE
PRVA
NSIT
ICHR
TNGX
DAVE
NG
PFSI
BCC
CALX
RSI
RRR
CARG
CWT
DHT
BANC
MSGE
TENB
NMRK
MTX
PRK
HUBG
ATKR
IVT
SHAK
LION
ROG
FRME
JOE
OSW
AEO
BBT
UPST
HAE
DYN
TRMK
CUBI
CLDX
DNOW
PBH
CECO
GOLF
NHC
WT
PRDO
APAM
IBRX
PLUS
ABM
GPGI
IDYA
ATRO
IMVT
FBNC
TARS
WK
COHU
IMNM
NTB
DGII
ANDE
ARQT
EWTX
TBBK
PENG
TXG
BANF
NBTB
FBK
BANR
HE
CSGS
HNI
